Sample ID,Habitat,Vegetation,250,254,260,265,272,280,285,300,340,350,365,400,436,465
GB1,Grassland,Bracken Present,0.001826076,0.001752406,0.001650522,0.001592526,0.001487507,0.001382488,0.001307251,0.001089376,0.00068184,0.000600332,0.000496881,0.000344838,0.000263331,0.000230415
GB2,Grassland,Bracken Present,0.000606777,0.000586836,0.000561198,0.000544105,0.000509921,0.00047716,0.000452946,0.000386001,0.000286296,0.000262082,0.000233595,0.000183742,0.00015668,0.00014386
GB3,Grassland,Bracken Present,0.001950307,0.00189216,0.001788436,0.001725574,0.001568418,0.001408119,0.001304396,0.001082806,0.000683629,0.000595622,0.000499756,0.000334743,0.00025145,0.000215304
GB4,Grassland,Bracken Present,0.00137354,0.001335057,0.001273879,0.001241317,0.001169285,0.00110416,0.001054823,0.000927534,0.000652234,0.000584149,0.000496329,0.00032661,0.000236817,0.000202281
GB5,Grassland,Bracken Present,0.001636844,0.001580974,0.001479804,0.001431484,0.001324273,0.001221593,0.001146093,0.000957342,0.000602492,0.000531521,0.000456021,0.000326161,0.000258211,0.000234051
GN10,Grassland,Bracken Absent,0.001076936,0.001035799,0.000974622,0.000937704,0.000864924,0.000803747,0.000755226,0.000626543,0.000388161,0.000335422,0.000275299,0.000181423,0.000130793,0.000110752
GN3,Grassland,Bracken Absent,0.000210089,0.000205232,0.000196731,0.000191873,0.000176086,0.000165157,0.000154834,0.000131154,0.000102009,9.41150759849603e-05,8.37927773285453e-05,6.80057323246164e-05,5.70762396295888e-05,5.10042992434623e-05
GN4,Grassland,Bracken Absent,0.00045995,0.000447159,0.000422643,0.000405588,0.000369346,0.000336302,0.00031445,0.000260621,0.000173747,0.000156159,0.000132176,9.06043308870164e-05,6.87526981436772e-05,5.96922650549755e-05
GN5,Grassland,Bracken Absent,0.000443566,0.000428744,0.000402942,0.000388669,0.000355731,0.000328283,0.000309069,0.000254721,0.000168533,0.000144928,0.000121871,8.78348704435661e-05,6.80720245937637e-05,5.76416337285903e-05
GN9,Grassland,Bracken Absent,0.001466059,0.00141979,0.001355675,0.001321964,0.001255866,0.001185802,0.00113755,0.00100932,0.000704607,0.000635865,0.000541344,0.000365523,0.000271003,0.000232666
UB1,Heathland,Bracken Present,0.002727807,0.002644892,0.002512647,0.002442327,0.002269149,0.002094922,0.001973173,0.001661454,0.00104956,0.000928861,0.00078717,0.000544722,0.000410378,0.000349504
UB10,Heathland,Bracken Present,0.002810868,0.002742434,0.002656258,0.002637671,0.002494889,0.00235971,0.002252412,0.001998108,0.001473446,0.001359389,0.001232659,0.00103665,0.000958923,0.000931887
UB4,Heathland,Bracken Present,0.001319409,0.001285027,0.00121483,0.00117615,0.001078735,0.000979887,0.00091542,0.000757836,0.000479915,0.000418314,0.000356713,0.000237809,0.000176208,0.000153286
UB6,Heathland,Bracken Present,0.000701274,0.000688348,0.000656031,0.000638795,0.000591397,0.000549385,0.000518146,0.000448126,0.000316705,0.000285465,0.000248839,0.000183128,0.00014758,0.000132499
UB9,Heathland,Bracken Present,0.000990815,0.000958642,0.000909684,0.000872849,0.000793584,0.000715718,0.000662564,0.000545997,0.000326852,0.000280692,0.000224274,0.000132419,8.67254161421178e-05,6.99398517275143e-05
UN1,Heathland,Bracken Absent,0.002019972,0.001969308,0.001890741,0.001857699,0.001738013,0.001608048,0.00151553,0.001265144,0.00079301,0.000704898,0.000599897,0.000425141,0.000326015,0.000281959
UN10,Heathland,Bracken Absent,0.001189141,0.001159943,0.001118138,0.001086949,0.001009974,0.000927689,0.000870621,0.00072596,0.0004519,0.000394168,0.000324492,0.00020372,0.000142007,0.000118781
UN3,Heathland,Bracken Absent,0.001729117,0.001677189,0.00159793,0.001569689,0.001487697,0.001397506,0.001326446,0.001119644,0.000769812,0.000716062,0.000655935,0.000570299,0.000505616,0.000465532
UN7,Heathland,Bracken Absent,0.000281097,0.000275585,0.000265297,0.000258683,0.000238841,0.000219366,0.000205035,0.000167923,0.000106927,9.18617810897012e-05,7.78987903640666e-05,5.03402560371563e-05,3.67447124358805e-05,3.1967899819216e-05
UN8,Heathland,Bracken Absent,0.000351562,0.000344531,0.000335937,0.000327344,0.000305469,0.000278125,0.000260937,0.0002125,0.000146094,0.000132031,0.000116406,8.82812493103027e-05,7.65624994018555e-05,7.18749994384766e-05
WB3,Woodland,Bracken Present,0.000661295,0.000643969,0.000613648,0.000599209,0.000555892,0.000522683,0.00049525,0.00041728,0.000316209,0.000290219,0.000267117,0.000220913,0.000189148,0.000174709
WB4,Woodland,Bracken Present,0.002977574,0.002883347,0.002748288,0.002644638,0.002415353,0.002178738,0.002014364,0.00165002,0.00098729,0.000845949,0.000678435,0.000389472,0.000248131,0.000194736
WB6,Woodland,Bracken Present,0.001070958,0.001038882,0.000978296,0.00094622,0.000860686,0.00078228,0.000728821,0.000593392,0.000392031,0.000342136,0.000294023,0.000222745,0.000179978,0.000162158
WB7,Woodland,Bracken Present,0.001090028,0.001068581,0.001021902,0.000985315,0.000894479,0.000802382,0.000740563,0.000610618,0.000398668,0.000349465,0.000297739,0.000203119,0.000151393,0.000132469
WB8,Woodland,Bracken Present,0.000901836,0.000869912,0.000830008,0.000804469,0.000742219,0.000676776,0.000633679,0.000523544,0.000343176,0.000304868,0.000260176,0.00019154,0.000159617,0.000146848
WN2,Woodland,Bracken Absent,0.000360942,0.000348958,0.000329924,0.000316529,0.000291151,0.000267887,0.000250263,0.00020444,0.000134648,0.000119139,0.000102925,7.5431261849185e-05,6.48567858890189e-05,5.92170653769303e-05
WN4,Woodland,Bracken Absent,0.000604227,0.000595432,0.000575203,0.000564649,0.000524191,0.000486372,0.000456468,0.000384348,0.000279686,0.000255939,0.000226035,0.000176783,0.000153036,0.00014424
WN5,Woodland,Bracken Absent,0.00099333,0.00097114,0.000932634,0.000895433,0.000810589,0.000721176,0.000661132,0.000533866,0.000325671,0.000284554,0.000230385,0.000143583,9.92024643980629e-05,8.22336218036574e-05
WN6,Woodland,Bracken Absent,0.001073636,0.001052607,0.001007045,0.000970828,0.000885545,0.000793252,0.000732502,0.00059932,0.000390201,0.00034347,0.000292066,0.000198605,0.000154211,0.000135519
WN8,Woodland,Bracken Absent,0.00231076,0.002256021,0.002130904,0.002060526,0.001896309,0.001767282,0.001665624,0.00140757,0.000989209,0.000879731,0.000754614,0.000543478,0.000418361,0.000379262
